rank,repository,stars,total_prs_aceitos
1,codecrafters-io/build-your-own-x,539147,153
2,sindresorhus/awesome,495002,691
3,public-apis/public-apis,455725,2088
4,freeCodeCamp/freeCodeCamp,453902,28694
5,EbookFoundation/free-programming-books,394268,7205
6,openclaw/openclaw,386090,24359
7,nilbuild/developer-roadmap,364264,4363
8,donnemartin/system-design-primer,363478,207
9,jwasham/coding-interview-university,358538,409
10,vinta/awesome-python,313628,725
11,awesome-selfhosted/awesome-selfhosted,312269,0
12,practical-tutorials/project-based-learning,278861,186
13,996icu/996.ICU,276618,1027
14,obra/superpowers,271259,167
15,react/react,247201,12974
16,torvalds/linux,242642,0
17,affaan-m/ECC,239762,987
18,trimstray/the-book-of-secret-knowledge,238050,116
19,NousResearch/hermes-agent,229591,10375
20,TheAlgorithms/Python,223689,3060
21,mattpocock/skills,215088,85
22,vuejs/vue,210232,1125
23,ossu/computer-science,207931,304
24,multica-ai/andrej-karpathy-skills,201906,12
25,n8n-io/n8n,200397,19829
26,tensorflow/tensorflow,196982,48710
27,anomalyco/opencode,196617,7066
28,trekhleb/javascript-algorithms,196448,306
29,ultraworkers/claw-code,195069,141
30,DigitalPlatDev/FreeDomain,192402,0
31,ohmyzsh/ohmyzsh,189135,3602
32,microsoft/vscode,188631,51686
33,massgravel/Microsoft-Activation-Scripts,186837,7
34,Significant-Gravitas/AutoGPT,186565,4740
35,jackfrued/Python-100-Days,185145,13
36,CyC2018/CS-Notes,185033,367
37,getify/You-Dont-Know-JS,184648,361
38,yt-dlp/yt-dlp,184106,3344
39,avelino/awesome-go,180912,3809
40,ollama/ollama,178371,3511
41,flutter/flutter,178367,49397
42,github/gitignore,175265,1758
43,twbs/bootstrap,174576,9427
44,microsoft/markitdown,173389,183
45,521xueweihan/HelloGitHub,170558,17
46,anthropics/skills,168538,46
47,f/prompts.chat,167062,232
48,firecrawl/firecrawl,166462,1919
49,AUTOMATIC1111/stable-diffusion-webui,164500,1862
50,huggingface/transformers,164019,20136
51,jlevy/the-art-of-command-line,162091,310
52,Snailclimb/JavaGuide,157733,1263
53,langflow-ai/langflow,153121,7225
54,langgenius/dify,152253,13221
55,open-webui/open-webui,148613,4005
56,airbnb/javascript,148135,809
57,Genymobile/scrcpy,147515,152
58,msitarzewski/agency-agents,144582,222
59,langchain-ai/langchain,144100,17217
60,x1xhlol/system-prompts-and-models-of-ai-tools,142758,52
61,yangshun/tech-interview-handbook,141811,491
62,vercel/next.js,141747,28068
63,anthropics/claude-code,141237,161
64,ytdl-org/youtube-dl,140945,1585
65,microsoft/PowerToys,137697,6966
66,clash-verge-rev/clash-verge-rev,137400,1004
67,golang/go,135733,1
68,iptv-org/iptv,135726,6696
69,labuladong/fucking-algorithm,135321,243
70,Shubhamsaboo/awesome-llm-apps,132336,237
71,ripienaar/free-for-dev,131587,3025
72,excalidraw/excalidraw,129454,3956
73,krahets/hello-algo,129383,994
74,Chalarangelo/30-seconds-of-code,128698,847
75,garrytan/gstack,127718,298
76,Comfy-Org/ComfyUI,127097,3122
77,farion1231/cc-switch,126739,438
78,github/spec-kit,126467,1351
79,react/react-native,126336,994
80,kubernetes/kubernetes,124464,65180
81,ggml-org/llama.cpp,123711,9631
82,electron/electron,122473,26388
83,shadcn-ui/ui,121197,1426
84,rustdesk/rustdesk,120237,4148
85,nodejs/node,118898,13124
86,justjavac/free-programming-books-zh_CN,118309,294
87,Hack-with-Github/Awesome-Hacking,118128,41
88,microsoft/generative-ai-for-beginners,117620,598
89,nextlevelbuilder/ui-ux-pro-max-skill,116117,137
90,godotengine/godot,115622,42595
91,rust-lang/rust,115466,72814
92,mrdoob/three.js,114470,15872
93,2dust/v2rayN,113668,569
94,d3/d3,113445,493
95,jaywcjlove/awesome-mac,110819,1177
96,immich-app/immich,110316,9980
97,tauri-apps/tauri,110158,5654
98,microsoft/TypeScript,110158,14796
99,axios/axios,109226,1471
100,browser-use/browser-use,108973,1888
