rank,repository,stars,total_releases
1,codecrafters-io/build-your-own-x,539151,0
2,sindresorhus/awesome,495008,0
3,public-apis/public-apis,455725,0
4,freeCodeCamp/freeCodeCamp,453903,0
5,EbookFoundation/free-programming-books,394270,0
6,openclaw/openclaw,386091,233
7,nilbuild/developer-roadmap,364264,1
8,donnemartin/system-design-primer,363479,0
9,jwasham/coding-interview-university,358539,0
10,vinta/awesome-python,313630,0
11,awesome-selfhosted/awesome-selfhosted,312269,1
12,practical-tutorials/project-based-learning,278863,0
13,996icu/996.ICU,276619,0
14,obra/superpowers,271266,12
15,react/react,247201,132
16,torvalds/linux,242644,0
17,affaan-m/ECC,239764,15
18,trimstray/the-book-of-secret-knowledge,238053,0
19,NousResearch/hermes-agent,229598,24
20,TheAlgorithms/Python,223689,0
21,mattpocock/skills,215100,7
22,vuejs/vue,210232,249
23,ossu/computer-science,207933,0
24,multica-ai/andrej-karpathy-skills,201910,0
25,n8n-io/n8n,200399,758
26,tensorflow/tensorflow,196982,222
27,anomalyco/opencode,196622,860
28,trekhleb/javascript-algorithms,196448,0
29,ultraworkers/claw-code,195069,0
30,DigitalPlatDev/FreeDomain,192405,0
31,ohmyzsh/ohmyzsh,189135,0
32,microsoft/vscode,188631,233
33,massgravel/Microsoft-Activation-Scripts,186838,31
34,Significant-Gravitas/AutoGPT,186565,116
35,jackfrued/Python-100-Days,185146,0
36,CyC2018/CS-Notes,185033,0
37,getify/You-Dont-Know-JS,184648,0
38,yt-dlp/yt-dlp,184107,135
39,avelino/awesome-go,180912,0
40,ollama/ollama,178372,241
41,flutter/flutter,178369,7
42,github/gitignore,175266,0
43,twbs/bootstrap,174576,94
44,microsoft/markitdown,173391,20
45,521xueweihan/HelloGitHub,170559,68
46,anthropics/skills,168541,0
47,f/prompts.chat,167063,0
48,firecrawl/firecrawl,166467,35
49,AUTOMATIC1111/stable-diffusion-webui,164500,27
50,huggingface/transformers,164019,268
51,jlevy/the-art-of-command-line,162091,0
52,Snailclimb/JavaGuide,157733,0
53,langflow-ai/langflow,153124,303
54,langgenius/dify,152256,168
55,open-webui/open-webui,148614,167
56,airbnb/javascript,148135,0
57,Genymobile/scrcpy,147516,52
58,msitarzewski/agency-agents,144594,0
59,langchain-ai/langchain,144100,1324
60,x1xhlol/system-prompts-and-models-of-ai-tools,142759,0
61,yangshun/tech-interview-handbook,141812,0
62,vercel/next.js,141747,3799
63,anthropics/claude-code,141240,186
64,ytdl-org/youtube-dl,140945,341
65,microsoft/PowerToys,137697,137
66,clash-verge-rev/clash-verge-rev,137399,67
67,golang/go,135733,0
68,iptv-org/iptv,135727,0
69,labuladong/fucking-algorithm,135321,0
70,Shubhamsaboo/awesome-llm-apps,132340,0
71,ripienaar/free-for-dev,131588,0
72,excalidraw/excalidraw,129454,15
73,krahets/hello-algo,129383,10
74,Chalarangelo/30-seconds-of-code,128698,12
75,garrytan/gstack,127718,0
76,Comfy-Org/ComfyUI,127098,152
77,farion1231/cc-switch,126743,50
78,github/spec-kit,126468,210
79,react/react-native,126337,471
80,kubernetes/kubernetes,124464,810
81,ggml-org/llama.cpp,123711,6841
82,electron/electron,122473,1979
83,shadcn-ui/ui,121197,116
84,rustdesk/rustdesk,120239,39
85,nodejs/node,118898,512
86,justjavac/free-programming-books-zh_CN,118309,3
87,Hack-with-Github/Awesome-Hacking,118129,0
88,microsoft/generative-ai-for-beginners,117620,0
89,nextlevelbuilder/ui-ux-pro-max-skill,116121,40
90,godotengine/godot,115622,71
91,rust-lang/rust,115466,153
92,mrdoob/three.js,114470,177
93,2dust/v2rayN,113669,332
94,d3/d3,113445,194
95,jaywcjlove/awesome-mac,110820,15
96,immich-app/immich,110317,305
97,tauri-apps/tauri,110159,1636
98,microsoft/TypeScript,110158,217
99,axios/axios,109226,123
100,browser-use/browser-use,108974,134
