participante,kata,tratamento,issue,trial_id,arquivo,medido_em_utc,loc,sloc,lloc,comentarios,linhas_em_branco,funcoes_analisadas,complexidade_media,complexidade_maxima,indice_manutenibilidade,duplicacao_disponivel,duplicacao_percentual,linhas_duplicadas,linhas_analisadas_duplicacao
bblop,kata01_frete_progressivo,com_ia,32,c4f8a07e-78db-4bc6-a243-bb2d70d8e483,C:\Users\bblop\Downloads\metrica-software\metrica-software-main\metrica-software\codigo-fonte\sprint-02\katas\kata01_frete_progressivo\solucao.py,2026-09-16T23:04:04.515644+00:00,27,20,21,0,6,1,8.0,8,53.799,False,,,
bblop,kata03_deduplicador_contatos,com_ia,36,8f2bd412-1fb9-4228-a4ca-d5e8e03583f9,C:\Users\bblop\Downloads\metrica-software\metrica-software-main\metrica-software\codigo-fonte\sprint-02\katas\kata03_deduplicador_contatos\solucao.py,2026-09-16T23:04:04.573264+00:00,45,30,32,0,14,3,4.6667,6,49.8215,False,,,
Arthur,kata01_frete_progressivo,sem_ia,37,a3639fe7-e3eb-41bf-883b-ef2da981b564,C:\Users\arthurbacelete_frwk\Desktop\Repositorios PUC MG\metrica-software\codigo-fonte\sprint-02\katas\kata01_frete_progressivo\solucao.py,2026-09-24T21:50:37.167625+00:00,61,40,33,0,20,3,3.3333,4,48.6979,False,,,
Arthur,kata03_deduplicador_contatos,sem_ia,39,13cee879-f4ab-4c50-814f-62f3ab70b005,C:\Users\arthurbacelete_frwk\Desktop\Repositorios PUC MG\metrica-software\codigo-fonte\sprint-02\katas\kata03_deduplicador_contatos\solucao.py,2026-09-24T21:50:41.208899+00:00,57,36,38,0,20,3,4.6667,6,47.8905,False,,,
Arthur,kata02_calculo_estacionamento,com_ia,38,6e8d797e-a498-4ebf-a515-1356cc53d16c,C:\Users\arthurbacelete_frwk\Desktop\Repositorios PUC MG\metrica-software\codigo-fonte\sprint-02\katas\kata02_calculo_estacionamento\solucao.py,2026-09-24T21:53:46.610895+00:00,23,15,19,0,7,1,3.0,3,59.3228,False,,,
Arthur,kata04_calculo_tarifa_energia,com_ia,48,677810b8-e310-4ddd-aa0c-8086c0be0748,C:\Users\arthurbacelete_frwk\Desktop\Repositorios PUC MG\metrica-software\codigo-fonte\sprint-02\katas\kata04_calculo_tarifa_energia\solucao.py,2026-09-24T21:53:50.328380+00:00,41,31,32,0,9,2,4.0,4,51.0463,False,,,
bblop,kata02_calculo_estacionamento,sem_ia,<ISSUE>,759e6fc4-a722-42d0-a883-0346934b94a0,C:\Users\arthurbacelete_frwk\Desktop\Repositorios PUC MG\metrica-software\codigo-fonte\sprint-02\katas\kata02_calculo_estacionamento\solucao.py,2026-09-24T22:09:24.779377+00:00,24,16,14,0,7,1,3.0,3,62.2159,False,,,
Joao_Pedro,kata02_calculo_estacionamento,sem_ia,41,0df5d1fd-d623-4967-a0bf-28372bc7b411,C:\Users\arthurbacelete_frwk\Desktop\Repositorios PUC MG\metrica-software\codigo-fonte\sprint-02\katas\kata02_calculo_estacionamento\solucao.py,2026-09-24T22:09:25.121683+00:00,24,16,14,0,7,1,3.0,3,62.2159,False,,,
bblop,kata04_calculo_tarifa_energia,sem_ia,47,2d7f4589-1640-4201-add9-13252095a77b,C:\Users\arthurbacelete_frwk\Desktop\Repositorios PUC MG\metrica-software\codigo-fonte\sprint-02\katas\kata04_calculo_tarifa_energia\solucao.py,2026-09-24T22:09:38.029775+00:00,31,26,21,0,5,1,6.0,6,53.4452,False,,,
Joao_Pedro,kata04_calculo_tarifa_energia,com_ia,49,2fd701b3-9f0b-4f05-a2b8-bddb93ba4d20,C:\Users\arthurbacelete_frwk\Desktop\Repositorios PUC MG\metrica-software\codigo-fonte\sprint-02\katas\kata04_calculo_tarifa_energia\solucao.py,2026-09-24T22:09:38.363315+00:00,31,26,21,0,5,1,6.0,6,53.4452,False,,,
