Repositorio,RQ01_Idade_Anos,RQ02_PRs_Aceitas,RQ03_Total_Releases,RQ04_Dias_Ultima_Atualizacao,RQ05_Linguagem_Primaria,RQ06_Razao_Issues_Fechadas
codecrafters-io/build-your-own-x,8.28,153,0,36.2,Markdown,0.7134
sindresorhus/awesome,12.11,692,0,1.44,Sem linguagem definida,0.9565
public-apis/public-apis,10.41,2120,0,0.1,Python,0.9681
freeCodeCamp/freeCodeCamp,11.65,28733,0,0.14,TypeScript,0.9926
EbookFoundation/free-programming-books,12.85,7211,0,1.41,Python,0.9706
openclaw/openclaw,0.73,26406,234,0.0,TypeScript,0.9264
nilbuild/developer-roadmap,9.43,4375,1,1.51,TypeScript,1.0
donnemartin/system-design-primer,9.48,207,0,152.93,Python,0.3159
jwasham/coding-interview-university,10.2,409,0,356.39,Sem linguagem definida,0.8473
vinta/awesome-python,12.15,728,0,3.44,Python,N/A
awesome-selfhosted/awesome-selfhosted,11.22,0,1,0.59,Sem linguagem definida,N/A
practical-tutorials/project-based-learning,9.35,186,0,2.72,Python,0.3667
996icu/996.ICU,7.4,1028,0,362.75,Sem linguagem definida,N/A
obra/superpowers,0.86,167,12,0.27,Shell,0.883
react/react,13.24,12978,132,0.26,JavaScript,0.9436
torvalds/linux,14.96,0,0,0.11,C,N/A
affaan-m/ECC,0.58,995,15,0.03,JavaScript,0.9381
trimstray/the-book-of-secret-knowledge,8.16,116,0,638.42,Sem linguagem definida,N/A
NousResearch/hermes-agent,1.08,11282,28,0.0,Python,0.4991
TheAlgorithms/Python,10.09,3060,0,16.22,Python,0.9182
mattpocock/skills,0.54,93,7,0.46,Shell,0.4577
vuejs/vue,13.06,1125,249,678.7,TypeScript,0.9637
ossu/computer-science,12.3,304,0,36.77,HTML,0.9748
multica-ai/andrej-karpathy-skills,0.56,12,0,121.59,Sem linguagem definida,N/A
n8n-io/n8n,7.16,20198,767,0.03,TypeScript,0.9662
anomalyco/opencode,1.3,7361,860,0.0,TypeScript,0.8353
tensorflow/tensorflow,10.78,48809,222,0.0,C++,0.9816
trekhleb/javascript-algorithms,8.41,306,0,24.89,JavaScript,0.6381
ultraworkers/claw-code,0.39,143,0,3.74,Rust,0.9928
DigitalPlatDev/FreeDomain,2.22,0,0,7.56,Markdown,N/A
ohmyzsh/ohmyzsh,16.97,3605,0,2.1,Shell,0.9697
microsoft/vscode,10.96,52094,234,0.0,TypeScript,0.9302
massgravel/Microsoft-Activation-Scripts,6.6,7,31,46.3,Batchfile,0.9944
Significant-Gravitas/AutoGPT,3.43,4772,117,0.0,Python,0.9269
yt-dlp/yt-dlp,5.81,3372,136,0.01,Python,0.8349
CyC2018/CS-Notes,8.51,367,0,728.6,Sem linguagem definida,0.7755
jackfrued/Python-100-Days,8.47,13,0,21.37,Jupyter Notebook,0.2647
getify/You-Dont-Know-JS,12.76,361,0,185.81,Sem linguagem definida,1.0
avelino/awesome-go,12.12,3830,0,0.24,Go,0.9697
ollama/ollama,3.15,3528,246,0.06,Go,0.7799
flutter/flutter,11.46,49552,7,0.0,Dart,0.8909
github/gitignore,15.78,1758,0,27.33,Sem linguagem definida,N/A
microsoft/markitdown,1.76,184,20,0.19,Python,0.3164
twbs/bootstrap,15.06,9427,94,0.91,MDX,0.9953
521xueweihan/HelloGitHub,10.29,17,68,17.67,Python,0.815
anthropics/skills,0.91,50,0,1.34,Python,0.1342
firecrawl/firecrawl,2.34,1940,35,0.02,TypeScript,0.9268
f/prompts.chat,3.7,231,0,0.87,HTML,0.8786
deepseek-ai/deepseek-harness,0.02,0,2,0.35,TypeScript,N/A
AUTOMATIC1111/stable-diffusion-webui,3.99,1862,27,170.71,Python,0.6939
huggingface/transformers,7.81,20208,269,0.06,Python,0.955
jlevy/the-art-of-command-line,11.25,310,0,785.25,Sem linguagem definida,0.5227
Snailclimb/JavaGuide,8.28,1265,0,1.46,JavaScript,0.9499
langflow-ai/langflow,3.53,7332,304,0.04,Python,0.9372
langgenius/dify,3.35,13422,168,0.03,TypeScript,0.9845
open-webui/open-webui,2.87,4051,167,0.02,Python,0.9786
airbnb/javascript,13.8,809,0,125.2,JavaScript,0.9287
Genymobile/scrcpy,8.74,152,52,2.57,C,0.5456
msitarzewski/agency-agents,0.85,222,0,13.44,Shell,0.6
langchain-ai/langchain,3.84,17267,1335,0.06,Python,0.9677
x1xhlol/system-prompts-and-models-of-ai-tools,1.46,52,0,8.46,Sem linguagem definida,0.5708
anthropics/claude-code,1.49,162,192,0.17,Python,0.833
yangshun/tech-interview-handbook,10.12,491,0,12.5,TypeScript,0.7302
vercel/next.js,9.87,28171,3810,0.0,JavaScript,0.926
ytdl-org/youtube-dl,15.8,1585,341,181.31,Python,0.8649
clash-verge-rev/clash-verge-rev,2.74,1015,67,0.42,TypeScript,0.9334
microsoft/PowerToys,7.3,7003,142,0.01,C,0.8205
iptv-org/iptv,7.76,6713,0,0.27,TypeScript,0.9989
golang/go,12.0,1,0,0.05,Go,0.8673
labuladong/fucking-algorithm,6.5,243,0,172.58,Markdown,1.0
Shubhamsaboo/awesome-llm-apps,2.31,242,0,2.89,Python,0.9655
ripienaar/free-for-dev,11.42,3032,0,2.52,HTML,N/A
github/spec-kit,0.99,1403,213,0.07,Python,0.893
excalidraw/excalidraw,6.63,3958,15,3.36,TypeScript,0.5391
krahets/hello-algo,3.79,996,10,2.13,Java,0.9521
