rank,repository,stars,created_at,collected_at,idade_dias,idade_anos
1,codecrafters-io/build-your-own-x,538813,2018-05-09T12:03:18Z,2026-08-11T23:15:14.613907+00:00,3016,8.26
2,sindresorhus/awesome,494621,2014-07-11T13:42:37Z,2026-08-11T23:15:14.614291+00:00,4414,12.08
3,public-apis/public-apis,455508,2016-03-20T23:49:42Z,2026-08-11T23:15:14.614453+00:00,3795,10.39
4,freeCodeCamp/freeCodeCamp,453823,2014-12-24T17:49:19Z,2026-08-11T23:15:14.614561+00:00,4248,11.63
5,EbookFoundation/free-programming-books,394169,2013-10-11T06:50:37Z,2026-08-11T23:15:14.614659+00:00,4687,12.83
6,openclaw/openclaw,385955,2025-11-24T10:16:47Z,2026-08-11T23:15:14.614755+00:00,260,0.71
7,nilbuild/developer-roadmap,364174,2017-03-15T13:45:52Z,2026-08-11T23:15:14.614848+00:00,3436,9.41
8,donnemartin/system-design-primer,363204,2017-02-26T16:15:28Z,2026-08-11T23:15:14.615033+00:00,3453,9.45
9,jwasham/coding-interview-university,358405,2016-06-06T02:34:12Z,2026-08-11T23:15:14.615268+00:00,3718,10.18
10,vinta/awesome-python,313455,2014-06-27T21:00:06Z,2026-08-11T23:15:14.615411+00:00,4428,12.12
11,awesome-selfhosted/awesome-selfhosted,312055,2015-06-01T02:33:17Z,2026-08-11T23:15:14.615510+00:00,4089,11.2
12,practical-tutorials/project-based-learning,278417,2017-04-12T05:07:46Z,2026-08-11T23:15:14.615630+00:00,3408,9.33
13,996icu/996.ICU,276618,2019-03-26T07:31:14Z,2026-08-11T23:15:14.615738+00:00,2695,7.38
14,obra/superpowers,270731,2025-10-09T19:45:18Z,2026-08-11T23:15:14.616282+00:00,306,0.84
15,react/react,247167,2013-05-24T16:15:54Z,2026-08-11T23:15:14.616485+00:00,4827,13.22
16,torvalds/linux,242517,2011-09-04T22:48:12Z,2026-08-11T23:15:14.616686+00:00,5455,14.93
