nome_repositorio,idade_anos,total_issues,issues_fechadas,origem_issues_fechadas,percentual_issues_fechadas,razao_issues_fechadas,status_rq17,analisado
codecrafters-io/build-your-own-x,8.28,949,677,estimada_a_partir_da_razao_rq06,71.34,0.7134,ok,True
sindresorhus/awesome,12.11,368,352,estimada_a_partir_da_razao_rq06,95.65,0.9565,ok,True
public-apis/public-apis,10.41,940,910,estimada_a_partir_da_razao_rq06,96.81,0.9681,ok,True
freeCodeCamp/freeCodeCamp,11.65,22065,21902,estimada_a_partir_da_razao_rq06,99.26,0.9926,ok,True
EbookFoundation/free-programming-books,12.85,1293,1255,estimada_a_partir_da_razao_rq06,97.06,0.9706,ok,True
openclaw/openclaw,0.73,47632,44126,estimada_a_partir_da_razao_rq06,92.64,0.9264,ok,True
nilbuild/developer-roadmap,9.43,3185,3185,estimada_a_partir_da_razao_rq06,100.0,1.0,ok,True
donnemartin/system-design-primer,9.48,402,127,estimada_a_partir_da_razao_rq06,31.59,0.3159,ok,True
jwasham/coding-interview-university,10.2,537,455,estimada_a_partir_da_razao_rq06,84.73,0.8473,ok,True
vinta/awesome-python,12.15,0,,nao_aplicavel,,,sem_issues,False
awesome-selfhosted/awesome-selfhosted,11.22,0,,nao_aplicavel,,,sem_issues,False
practical-tutorials/project-based-learning,9.35,240,88,estimada_a_partir_da_razao_rq06,36.67,0.3667,ok,True
996icu/996.ICU,7.4,0,,nao_aplicavel,,,sem_issues,False
obra/superpowers,0.86,855,755,estimada_a_partir_da_razao_rq06,88.3,0.883,ok,True
react/react,13.24,14629,13804,estimada_a_partir_da_razao_rq06,94.36,0.9436,ok,True
torvalds/linux,14.96,0,,nao_aplicavel,,,sem_issues,False
affaan-m/ECC,0.58,711,667,estimada_a_partir_da_razao_rq06,93.81,0.9381,ok,True
trimstray/the-book-of-secret-knowledge,8.16,0,,nao_aplicavel,,,sem_issues,False
NousResearch/hermes-agent,1.08,22679,11319,estimada_a_partir_da_razao_rq06,49.91,0.4991,ok,True
TheAlgorithms/Python,10.09,1749,1606,estimada_a_partir_da_razao_rq06,91.82,0.9182,ok,True
mattpocock/skills,0.54,673,308,estimada_a_partir_da_razao_rq06,45.77,0.4577,ok,True
vuejs/vue,13.06,10034,9670,estimada_a_partir_da_razao_rq06,96.37,0.9637,ok,True
ossu/computer-science,12.3,675,658,estimada_a_partir_da_razao_rq06,97.48,0.9748,ok,True
multica-ai/andrej-karpathy-skills,0.56,0,,nao_aplicavel,,,sem_issues,False
n8n-io/n8n,7.16,10042,9703,estimada_a_partir_da_razao_rq06,96.62,0.9662,ok,True
anomalyco/opencode,1.3,24133,20158,estimada_a_partir_da_razao_rq06,83.53,0.8353,ok,True
tensorflow/tensorflow,10.78,41700,40933,estimada_a_partir_da_razao_rq06,98.16,0.9816,ok,True
trekhleb/javascript-algorithms,8.41,373,238,estimada_a_partir_da_razao_rq06,63.81,0.6381,ok,True
ultraworkers/claw-code,0.39,2211,2195,estimada_a_partir_da_razao_rq06,99.28,0.9928,ok,True
DigitalPlatDev/FreeDomain,2.22,0,,nao_aplicavel,,,sem_issues,False
ohmyzsh/ohmyzsh,16.97,5079,4925,estimada_a_partir_da_razao_rq06,96.97,0.9697,ok,True
microsoft/vscode,10.96,251229,233693,estimada_a_partir_da_razao_rq06,93.02,0.9302,ok,True
massgravel/Microsoft-Activation-Scripts,6.6,1073,1067,estimada_a_partir_da_razao_rq06,99.44,0.9944,ok,True
Significant-Gravitas/AutoGPT,3.43,3939,3651,estimada_a_partir_da_razao_rq06,92.69,0.9269,ok,True
yt-dlp/yt-dlp,5.81,11929,9960,estimada_a_partir_da_razao_rq06,83.49,0.8349,ok,True
CyC2018/CS-Notes,8.51,579,449,estimada_a_partir_da_razao_rq06,77.55,0.7755,ok,True
jackfrued/Python-100-Days,8.47,729,193,estimada_a_partir_da_razao_rq06,26.47,0.2647,ok,True
getify/You-Dont-Know-JS,12.76,947,947,estimada_a_partir_da_razao_rq06,100.0,1.0,ok,True
avelino/awesome-go,12.12,759,736,estimada_a_partir_da_razao_rq06,96.97,0.9697,ok,True
ollama/ollama,3.15,11024,8598,estimada_a_partir_da_razao_rq06,77.99,0.7799,ok,True
flutter/flutter,11.46,115238,102666,estimada_a_partir_da_razao_rq06,89.09,0.8909,ok,True
github/gitignore,15.78,0,,nao_aplicavel,,,sem_issues,False
microsoft/markitdown,1.76,572,181,estimada_a_partir_da_razao_rq06,31.64,0.3164,ok,True
twbs/bootstrap,15.06,22945,22837,estimada_a_partir_da_razao_rq06,99.53,0.9953,ok,True
521xueweihan/HelloGitHub,10.29,3324,2709,estimada_a_partir_da_razao_rq06,81.5,0.815,ok,True
anthropics/skills,0.91,365,49,estimada_a_partir_da_razao_rq06,13.42,0.1342,ok,True
firecrawl/firecrawl,2.34,956,886,estimada_a_partir_da_razao_rq06,92.68,0.9268,ok,True
f/prompts.chat,3.7,173,152,estimada_a_partir_da_razao_rq06,87.86,0.8786,ok,True
deepseek-ai/deepseek-harness,0.02,0,,nao_aplicavel,,,sem_issues,False
AUTOMATIC1111/stable-diffusion-webui,3.99,7913,5491,estimada_a_partir_da_razao_rq06,69.39,0.6939,ok,True
huggingface/transformers,7.81,19332,18462,estimada_a_partir_da_razao_rq06,95.5,0.955,ok,True
jlevy/the-art-of-command-line,11.25,264,138,estimada_a_partir_da_razao_rq06,52.27,0.5227,ok,True
Snailclimb/JavaGuide,8.28,1158,1100,estimada_a_partir_da_razao_rq06,94.99,0.9499,ok,True
langflow-ai/langflow,3.53,3425,3210,estimada_a_partir_da_razao_rq06,93.72,0.9372,ok,True
langgenius/dify,3.35,18650,18361,estimada_a_partir_da_razao_rq06,98.45,0.9845,ok,True
open-webui/open-webui,2.87,9403,9202,estimada_a_partir_da_razao_rq06,97.86,0.9786,ok,True
airbnb/javascript,13.8,1417,1316,estimada_a_partir_da_razao_rq06,92.87,0.9287,ok,True
Genymobile/scrcpy,8.74,6149,3355,estimada_a_partir_da_razao_rq06,54.56,0.5456,ok,True
msitarzewski/agency-agents,0.85,145,87,estimada_a_partir_da_razao_rq06,60.0,0.6,ok,True
langchain-ai/langchain,3.84,10016,9692,estimada_a_partir_da_razao_rq06,96.77,0.9677,ok,True
x1xhlol/system-prompts-and-models-of-ai-tools,1.46,212,121,estimada_a_partir_da_razao_rq06,57.08,0.5708,ok,True
anthropics/claude-code,1.49,85336,71085,estimada_a_partir_da_razao_rq06,83.3,0.833,ok,True
yangshun/tech-interview-handbook,10.12,126,92,estimada_a_partir_da_razao_rq06,73.02,0.7302,ok,True
vercel/next.js,9.87,25208,23343,estimada_a_partir_da_razao_rq06,92.6,0.926,ok,True
ytdl-org/youtube-dl,15.8,26831,23206,estimada_a_partir_da_razao_rq06,86.49,0.8649,ok,True
clash-verge-rev/clash-verge-rev,2.74,5811,5424,estimada_a_partir_da_razao_rq06,93.34,0.9334,ok,True
microsoft/PowerToys,7.3,41158,33770,estimada_a_partir_da_razao_rq06,82.05,0.8205,ok,True
iptv-org/iptv,7.76,34550,34512,estimada_a_partir_da_razao_rq06,99.89,0.9989,ok,True
golang/go,12.0,72893,63220,estimada_a_partir_da_razao_rq06,86.73,0.8673,ok,True
labuladong/fucking-algorithm,6.5,981,981,estimada_a_partir_da_razao_rq06,100.0,1.0,ok,True
Shubhamsaboo/awesome-llm-apps,2.31,174,168,estimada_a_partir_da_razao_rq06,96.55,0.9655,ok,True
ripienaar/free-for-dev,11.42,0,,nao_aplicavel,,,sem_issues,False
github/spec-kit,0.99,1524,1361,estimada_a_partir_da_razao_rq06,89.3,0.893,ok,True
excalidraw/excalidraw,6.63,4916,2650,estimada_a_partir_da_razao_rq06,53.91,0.5391,ok,True
krahets/hello-algo,3.79,292,278,estimada_a_partir_da_razao_rq06,95.21,0.9521,ok,True
garrytan/gstack,0.44,769,471,estimada_a_partir_da_razao_rq06,61.25,0.6125,ok,True
Chalarangelo/30-seconds-of-code,8.72,300,300,estimada_a_partir_da_razao_rq06,100.0,1.0,ok,True
Comfy-Org/ComfyUI,3.59,9149,5044,estimada_a_partir_da_razao_rq06,55.13,0.5513,ok,True
farion1231/cc-switch,1.04,4688,3184,estimada_a_partir_da_razao_rq06,67.92,0.6792,ok,True
react/react-native,11.61,27781,27109,estimada_a_partir_da_razao_rq06,97.58,0.9758,ok,True
ggml-org/llama.cpp,3.44,9555,8781,estimada_a_partir_da_razao_rq06,91.9,0.919,ok,True
kubernetes/kubernetes,12.2,49547,47704,estimada_a_partir_da_razao_rq06,96.28,0.9628,ok,True
electron/electron,13.35,21826,21145,estimada_a_partir_da_razao_rq06,96.88,0.9688,ok,True
shadcn-ui/ui,3.62,4236,3175,estimada_a_partir_da_razao_rq06,74.95,0.7495,ok,True
rustdesk/rustdesk,5.89,4305,4226,estimada_a_partir_da_razao_rq06,98.16,0.9816,ok,True
nodejs/node,11.73,20775,20079,estimada_a_partir_da_razao_rq06,96.65,0.9665,ok,True
Hack-with-Github/Awesome-Hacking,10.39,0,,nao_aplicavel,,,sem_issues,False
justjavac/free-programming-books-zh_CN,12.79,0,,nao_aplicavel,,,sem_issues,False
nextlevelbuilder/ui-ux-pro-max-skill,0.72,173,134,estimada_a_partir_da_razao_rq06,77.46,0.7746,ok,True
microsoft/generative-ai-for-beginners,3.17,244,244,estimada_a_partir_da_razao_rq06,100.0,1.0,ok,True
godotengine/godot,12.62,63370,49974,estimada_a_partir_da_razao_rq06,78.86,0.7886,ok,True
rust-lang/rust,16.18,63551,52214,estimada_a_partir_da_razao_rq06,82.16,0.8216,ok,True
mrdoob/three.js,16.41,13744,13498,estimada_a_partir_da_razao_rq06,98.21,0.9821,ok,True
2dust/v2rayN,7.06,7139,7122,estimada_a_partir_da_razao_rq06,99.76,0.9976,ok,True
d3/d3,15.89,2247,2242,estimada_a_partir_da_razao_rq06,99.78,0.9978,ok,True
immich-app/immich,4.54,9151,8669,estimada_a_partir_da_razao_rq06,94.73,0.9473,ok,True
jaywcjlove/awesome-mac,10.09,562,403,estimada_a_partir_da_razao_rq06,71.71,0.7171,ok,True
harry0703/MoneyPrinterTurbo,2.44,771,755,estimada_a_partir_da_razao_rq06,97.92,0.9792,ok,True
tauri-apps/tauri,7.1,6419,5134,estimada_a_partir_da_razao_rq06,79.98,0.7998,ok,True
microsoft/TypeScript,12.17,43257,38239,estimada_a_partir_da_razao_rq06,88.4,0.884,ok,True
browser-use/browser-use,1.8,1606,1504,estimada_a_partir_da_razao_rq06,93.65,0.9365,ok,True
VoltAgent/awesome-design-md,0.39,385,78,estimada_a_partir_da_razao_rq06,20.26,0.2026,ok,True
axios/axios,12.0,5055,5009,estimada_a_partir_da_razao_rq06,99.09,0.9909,ok,True
fatedier/frp,10.66,4142,4100,estimada_a_partir_da_razao_rq06,98.99,0.9899,ok,True
papers-we-love/papers-we-love,12.68,252,250,estimada_a_partir_da_razao_rq06,99.21,0.9921,ok,True
Graphify-Labs/graphify,0.38,1396,915,estimada_a_partir_da_razao_rq06,65.54,0.6554,ok,True
denoland/deno,8.26,15003,13825,estimada_a_partir_da_razao_rq06,92.15,0.9215,ok,True
supabase/supabase,6.85,5844,5567,estimada_a_partir_da_razao_rq06,95.26,0.9526,ok,True
openai/whisper,3.92,0,,nao_aplicavel,,,sem_issues,False
openai/codex,1.35,23450,10499,estimada_a_partir_da_razao_rq06,44.77,0.4477,ok,True
google-gemini/gemini-cli,1.34,14231,13670,estimada_a_partir_da_razao_rq06,96.06,0.9606,ok,True
DietrichGebert/ponytail,0.19,271,211,estimada_a_partir_da_razao_rq06,77.86,0.7786,ok,True
goldbergyoni/nodebestpractices,8.93,342,288,estimada_a_partir_da_razao_rq06,84.21,0.8421,ok,True
microsoft/terminal,9.02,14058,12410,estimada_a_partir_da_razao_rq06,88.28,0.8828,ok,True
