nome_repositorio,idade_anos,total_releases,status_rq21,analisado
codecrafters-io/build-your-own-x,8.28,0,ok,true
sindresorhus/awesome,12.11,0,ok,true
public-apis/public-apis,10.41,0,ok,true
freeCodeCamp/freeCodeCamp,11.65,0,ok,true
EbookFoundation/free-programming-books,12.85,0,ok,true
openclaw/openclaw,0.73,234,ok,true
nilbuild/developer-roadmap,9.43,1,ok,true
donnemartin/system-design-primer,9.48,0,ok,true
jwasham/coding-interview-university,10.2,0,ok,true
vinta/awesome-python,12.15,0,ok,true
awesome-selfhosted/awesome-selfhosted,11.22,1,ok,true
practical-tutorials/project-based-learning,9.35,0,ok,true
996icu/996.ICU,7.4,0,ok,true
obra/superpowers,0.86,12,ok,true
react/react,13.24,132,ok,true
torvalds/linux,14.96,0,ok,true
affaan-m/ECC,0.58,15,ok,true
trimstray/the-book-of-secret-knowledge,8.16,0,ok,true
NousResearch/hermes-agent,1.08,28,ok,true
TheAlgorithms/Python,10.09,0,ok,true
mattpocock/skills,0.54,7,ok,true
vuejs/vue,13.06,249,ok,true
ossu/computer-science,12.3,0,ok,true
multica-ai/andrej-karpathy-skills,0.56,0,ok,true
n8n-io/n8n,7.16,767,ok,true
anomalyco/opencode,1.3,860,ok,true
tensorflow/tensorflow,10.78,222,ok,true
trekhleb/javascript-algorithms,8.41,0,ok,true
ultraworkers/claw-code,0.39,0,ok,true
DigitalPlatDev/FreeDomain,2.22,0,ok,true
ohmyzsh/ohmyzsh,16.97,0,ok,true
microsoft/vscode,10.96,234,ok,true
massgravel/Microsoft-Activation-Scripts,6.6,31,ok,true
Significant-Gravitas/AutoGPT,3.43,117,ok,true
yt-dlp/yt-dlp,5.81,136,ok,true
CyC2018/CS-Notes,8.51,0,ok,true
jackfrued/Python-100-Days,8.47,0,ok,true
getify/You-Dont-Know-JS,12.76,0,ok,true
avelino/awesome-go,12.12,0,ok,true
ollama/ollama,3.15,246,ok,true
flutter/flutter,11.46,7,ok,true
github/gitignore,15.78,0,ok,true
microsoft/markitdown,1.76,20,ok,true
twbs/bootstrap,15.06,94,ok,true
521xueweihan/HelloGitHub,10.29,68,ok,true
anthropics/skills,0.91,0,ok,true
firecrawl/firecrawl,2.34,35,ok,true
f/prompts.chat,3.7,0,ok,true
deepseek-ai/deepseek-harness,0.02,2,ok,true
AUTOMATIC1111/stable-diffusion-webui,3.99,27,ok,true
huggingface/transformers,7.81,269,ok,true
jlevy/the-art-of-command-line,11.25,0,ok,true
Snailclimb/JavaGuide,8.28,0,ok,true
langflow-ai/langflow,3.53,304,ok,true
langgenius/dify,3.35,168,ok,true
open-webui/open-webui,2.87,167,ok,true
airbnb/javascript,13.8,0,ok,true
Genymobile/scrcpy,8.74,52,ok,true
msitarzewski/agency-agents,0.85,0,ok,true
langchain-ai/langchain,3.84,1335,ok,true
x1xhlol/system-prompts-and-models-of-ai-tools,1.46,0,ok,true
anthropics/claude-code,1.49,192,ok,true
yangshun/tech-interview-handbook,10.12,0,ok,true
vercel/next.js,9.87,3810,ok,true
ytdl-org/youtube-dl,15.8,341,ok,true
clash-verge-rev/clash-verge-rev,2.74,67,ok,true
microsoft/PowerToys,7.3,142,ok,true
iptv-org/iptv,7.76,0,ok,true
golang/go,12,0,ok,true
labuladong/fucking-algorithm,6.5,0,ok,true
Shubhamsaboo/awesome-llm-apps,2.31,0,ok,true
ripienaar/free-for-dev,11.42,0,ok,true
github/spec-kit,0.99,213,ok,true
excalidraw/excalidraw,6.63,15,ok,true
krahets/hello-algo,3.79,10,ok,true
garrytan/gstack,0.44,0,ok,true
Chalarangelo/30-seconds-of-code,8.72,12,ok,true
Comfy-Org/ComfyUI,3.59,153,ok,true
farion1231/cc-switch,1.04,51,ok,true
react/react-native,11.61,471,ok,true
ggml-org/llama.cpp,3.44,6888,ok,true
kubernetes/kubernetes,12.2,810,ok,true
electron/electron,13.35,,releases_ausente,false
shadcn-ui/ui,3.62,117,ok,true
rustdesk/rustdesk,5.89,39,ok,true
nodejs/node,11.73,512,ok,true
Hack-with-Github/Awesome-Hacking,10.39,0,ok,true
justjavac/free-programming-books-zh_CN,12.79,3,ok,true
nextlevelbuilder/ui-ux-pro-max-skill,0.72,41,ok,true
microsoft/generative-ai-for-beginners,3.17,0,ok,true
godotengine/godot,12.62,72,ok,true
rust-lang/rust,16.18,153,ok,true
mrdoob/three.js,16.41,177,ok,true
2dust/v2rayN,7.06,333,ok,true
d3/d3,15.89,194,ok,true
immich-app/immich,4.54,305,ok,true
jaywcjlove/awesome-mac,10.09,15,ok,true
harry0703/MoneyPrinterTurbo,2.44,17,ok,true
tauri-apps/tauri,7.1,1636,ok,true
microsoft/TypeScript,12.17,217,ok,true
browser-use/browser-use,1.8,135,ok,true
VoltAgent/awesome-design-md,0.39,0,ok,true
axios/axios,12,123,ok,true
fatedier/frp,10.66,116,ok,true
papers-we-love/papers-we-love,12.68,0,ok,true
Graphify-Labs/graphify,0.38,193,ok,true
denoland/deno,8.26,388,ok,true
supabase/supabase,6.85,30,ok,true
